description,group,id,manufacturer
"Cheese, caraway",Dairy and Egg Products,1008,
"Cheese, cheddar",Dairy and Egg Products,1009,
"Cheese, edam",Dairy and Egg Products,1018,
"Cheese, feta",Dairy and Egg Products,1019,
"Cheese, mozzarella, part skim milk",Dairy and Egg Products,1028,
"Cheese, mozzarella, part skim milk, low moisture",Dairy and Egg Products,1029,
"Cheese, romano",Dairy and Egg Products,1038,
"Cheese, roquefort",Dairy and Egg Products,1039,
"Cheese spread, pasteurized process, american, without di sodium phosphate",Dairy and Egg Products,1048,
"Cream, fluid, half and half",Dairy and Egg Products,1049,
"Sour dressing, non-butterfat, cultured, filled cream-type",Dairy and Egg Products,1058,
"Milk, filled, fluid, with blend of hydrogenated vegetable oils",Dairy and Egg Products,1059,
"Cream substitute, liquid, with lauric acid oil and sodium caseinate",Dairy and Egg Products,1068,
"Cream substitute, powdered",Dairy and Egg Products,1069,
"Milk, producer, fluid, 3.7% milkfat",Dairy and Egg Products,1078,
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",Dairy and Egg Products,1079,
"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D",Dairy and Egg Products,1080,
"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D",Dairy and Egg Products,1081,
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",Dairy and Egg Products,1082,
"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D",Dairy and Egg Products,1083,
"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D",Dairy and Egg Products,1084,
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",Dairy and Egg Products,1085,
"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)",Dairy and Egg Products,1086,
"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)",Dairy and Egg Products,1087,
"Milk, buttermilk, fluid, cultured, lowfat",Dairy and Egg Products,1088,
"Milk, low sodium, fluid",Dairy and Egg Products,1089,
"Milk, dry, whole, with added vitamin D",Dairy and Egg Products,1090,
"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",Dairy and Egg Products,1091,
"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",Dairy and Egg Products,1092,
"Milk, dry, nonfat, calcium reduced",Dairy and Egg Products,1093,
"Milk, buttermilk, dried",Dairy and Egg Products,1094,
"Milk, canned, condensed, sweetened",Dairy and Egg Products,1095,
"Milk, canned, evaporated, with added vitamin D and without added vitamin A",Dairy and Egg Products,1096,
"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",Dairy and Egg Products,1097,
"Milk, indian buffalo, fluid",Dairy and Egg Products,1108,
"Milk, sheep, fluid",Dairy and Egg Products,1109,
"Yogurt, plain, skim milk, 13 grams protein per 8 ounce",Dairy and Egg Products,1118,
"Yogurt, vanilla, low fat, 11 grams protein per 8 ounce",Dairy and Egg Products,1119,
"Egg, whole, cooked, fried",Dairy and Egg Products,1128,
"Egg, whole, cooked, hard-boiled",Dairy and Egg Products,1129,
"Egg, duck, whole, fresh, raw",Dairy and Egg Products,1138,
"Egg, goose, whole, fresh, raw",Dairy and Egg Products,1139,
"Cheese, pasteurized process, swiss, without di sodium phosphate",Dairy and Egg Products,1148,
"Cheese food, pasteurized process, american, with di sodium phosphate",Dairy and Egg Products,1149,
"Cheese, goat, soft type",Dairy and Egg Products,1159,
"Cheese, low fat, cheddar or colby",Dairy and Egg Products,1168,
"Cheese, low-sodium, cheddar or colby",Dairy and Egg Products,1169,
"Sour cream, reduced fat",Dairy and Egg Products,1178,
"Sour cream, light",Dairy and Egg Products,1179,
"Sour cream, fat free",Dairy and Egg Products,1180,
"USDA Commodity, cheese, cheddar, reduced fat",Dairy and Egg Products,1182,
"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener",Dairy and Egg Products,1184,
"Parmesan cheese topping, fat free",Dairy and Egg Products,1185,
"Cheese, cream, fat free",Dairy and Egg Products,1186,
"Yogurt, chocolate, nonfat milk",Dairy and Egg Products,1187,
KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce,Dairy and Egg Products,1188,
KRAFT CHEEZ WHIZ LIGHT Pasteurized Process Cheese Product,Dairy and Egg Products,1189,
KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product,Dairy and Egg Products,1190,
KRAFT VELVEETA Pasteurized Process Cheese Spread,Dairy and Egg Products,1191,
KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product,Dairy and Egg Products,1192,
KRAFT BREAKSTONE'S Reduced Fat Sour Cream,Dairy and Egg Products,1193,
KRAFT BREAKSTONE'S FREE Fat Free Sour Cream,Dairy and Egg Products,1194,
KRAFT BREYERS Lowfat Strawberry Yogurt (1% Milkfat),Dairy and Egg Products,1195,
KRAFT BREYERS LIGHT N' LIVELY Lowfat Strawberry Yogurt (1% Milkfat),Dairy and Egg Products,1196,
KRAFT BREYERS Smooth & Creamy Lowfat Strawberry Yogurt (1% Milkfat),Dairy and Egg Products,1197,
KRAFT BREYERS LIGHT Nonfat Strawberry Yogurt (with Aspartame and Fructose Sweeteners),Dairy and Egg Products,1198,
"Cream, half and half, fat free",Dairy and Egg Products,1199,
"Cheese, provolone, reduced fat",Dairy and Egg Products,1208,
"Cheese, Mexican, blend, reduced fat",Dairy and Egg Products,1209,
"Yogurt, fruit variety, nonfat, fortified with vitamin D",Dairy and Egg Products,1218,
"Yogurt, fruit, lowfat, with low calorie sweetener, fortified with vitamin D",Dairy and Egg Products,1219,
"Cheese, fresh, queso fresco",Dairy and Egg Products,1228,
"Cheese, white, queso blanco",Dairy and Egg Products,1229,
"Spices, allspice, ground",Spices and Herbs,1025,
"Spices, anise seed",Spices and Herbs,1026,
"Spices, basil, dried",Spices and Herbs,1027,
"Spices, cardamom",Spices and Herbs,1030,
"Spices, celery seed",Spices and Herbs,1031,
"Spices, chervil, dried",Spices and Herbs,2008,
"Spices, chili powder",Spices and Herbs,2009,
"Spices, cinnamon, ground",Spices and Herbs,1032,
"Spices, cloves, ground",Spices and Herbs,1033,
"Spices, coriander leaf, dried",Spices and Herbs,1034,
"Spices, coriander seed",Spices and Herbs,1035,
"Spices, cumin seed",Spices and Herbs,1036,
"Spices, curry powder",Spices and Herbs,1037,
"Spices, fennel seed",Spices and Herbs,2018,
"Spices, fenugreek seed",Spices and Herbs,2019,
"Spices, garlic powder",Spices and Herbs,1040,
"Spices, ginger, ground",Spices and Herbs,1041,
"Spices, mace, ground",Spices and Herbs,1042,
"Spices, marjoram, dried",Spices and Herbs,1043,
"Spices, mustard seed, ground",Spices and Herbs,1044,
"Spices, nutmeg, ground",Spices and Herbs,1045,
"Spices, onion powder",Spices and Herbs,1046,
"Spices, oregano, dried",Spices and Herbs,1047,
"Spices, paprika",Spices and Herbs,2028,
"Spices, parsley, dried",Spices and Herbs,2029,
"Spices, pepper, white",Spices and Herbs,1050,
"Spices, poultry seasoning",Spices and Herbs,1052,
"Spices, pumpkin pie spice",Spices and Herbs,1053,
"Spices, rosemary, dried",Spices and Herbs,1054,
"Spices, saffron",Spices and Herbs,1055,
"Spices, sage, ground",Spices and Herbs,2038,
"Spices, savory, ground",Spices and Herbs,2039,
"Spices, tarragon, dried",Spices and Herbs,1057,
"Basil, fresh",Spices and Herbs,1060,
"Vinegar, cider",Spices and Herbs,2048,
"Thyme, fresh",Spices and Herbs,2049,
"Vinegar, distilled",Spices and Herbs,1067,
"Peppermint, fresh",Spices and Herbs,1076,
"Spearmint, fresh",Spices and Herbs,1077,
"Vinegar, red wine",Spices and Herbs,2068,
"Vinegar, balsamic",Spices and Herbs,2069,
"Babyfood, meat, ham, strained",Baby Foods,3008,
"Babyfood, meat, ham, junior",Baby Foods,3009,
Gerber graduates Fruit Strips Real Fruit Bars,Baby Foods,3019,
"Babyfood, macaroni and cheese, toddler",Baby Foods,3048,
"Babyfood, dinner, beef and rice, toddler",Baby Foods,3049,
"Babyfood, dinner, vegetables and bacon, strained",Baby Foods,3059,
"Babyfood, dinner, chicken noodle, strained",Baby Foods,3068,
"Babyfood, dinner, chicken noodle, junior",Baby Foods,3069,
"Babyfood, dinner, vegetables and noodles and turkey, strained",Baby Foods,3079,
"Babyfood, dinner, vegetables and noodles and turkey, junior",Baby Foods,3081,
"Babyfood, dinner, turkey and rice, strained",Baby Foods,3082,
"Babyfood, dinner, turkey and rice, junior",Baby Foods,3083,
"Babyfood, dinner, vegetables and turkey, strained",Baby Foods,3084,
"Babyfood, dinner, vegetables and turkey, junior",Baby Foods,3085,
"Babyfood, dinner, vegetables and turkey, toddler",Baby Foods,3086,
"Babyfood, dinner, macaroni and cheese, strained",Baby Foods,3089,
"Babyfood, dinner, macaroni and cheese, junior",Baby Foods,3090,
"Babyfood, vegetables, green beans, strained",Baby Foods,3091,
"Babyfood, vegetables, green beans, junior",Baby Foods,3092,
"Babyfood, green beans, dices, toddler",Baby Foods,3093,
"Babyfood, vegetable, green beans and potatoes",Baby Foods,3096,
"Babyfood, vegetables, beets, strained",Baby Foods,3098,
"Babyfood, vegetables, carrots, strained",Baby Foods,3099,
"Babyfood, vegetables, sweet potatoes strained",Baby Foods,3108,
"Babyfood, vegetables, sweet potatoes, junior",Baby Foods,3109,
"Babyfood, fruit, apricot with tapioca, strained",Baby Foods,3118,
"Babyfood, vegetables, corn, creamed, strained",Baby Foods,3119,
"Babyfood, fruit, apricot with tapioca, junior",Baby Foods,3128,
"Babyfood, fruit, bananas with tapioca, strained",Baby Foods,3129,
"Babyfood, prunes, without vitamin c, strained",Baby Foods,3139,
"Babyfood, fruit, pears and pineapple, strained",Baby Foods,3158,
"Babyfood, fruit, pears and pineapple, junior",Baby Foods,3159,
"Babyfood, juice, apple and peach",Baby Foods,3168,
"Babyfood, apple-cranberry juice",Baby Foods,3169,
"Babyfood, juice, prune and orange",Baby Foods,3178,
"Babyfood, juice, mixed fruit",Baby Foods,3179,
"Babyfood, cereal, barley, dry",Baby Foods,3181,
"Babyfood, cereal, whole wheat, with apples, dry",Baby Foods,3184,
"Babyfood, cereal, mixed, dry",Baby Foods,3185,
"Babyfood, cereal, mixed, with bananas, dry",Baby Foods,3186,
"Babyfood, cereal, mixed, with applesauce and bananas, strained",Baby Foods,3187,
"Babyfood, cereal, mixed, with applesauce and bananas, junior",Baby Foods,3188,
"Babyfood, cereal, oatmeal, dry",Baby Foods,3189,
"Babyfood, cereal, oatmeal, with bananas, dry",Baby Foods,3190,
"Babyfood, cereal, oatmeal, with applesauce and bananas, strained",Baby Foods,3191,
"Babyfood, cereal, oatmeal, with applesauce and bananas, junior",Baby Foods,3192,
"Babyfood, cereal, oatmeal, with honey, dry",Baby Foods,3193,
"Babyfood, cereal, rice, dry",Baby Foods,3194,
"Babyfood, cereal, rice, with applesauce and bananas, strained",Baby Foods,3195,
"Babyfood, cereal, with egg yolks, strained",Baby Foods,3197,
"Babyfood, cereal, with egg yolks, junior",Baby Foods,3198,
"Babyfood, cereal, with eggs, strained",Baby Foods,3199,
"Babyfood, crackers, vegetable",Baby Foods,3209,
"Babyfood, dessert, peach cobbler, junior",Baby Foods,3228,
"Babyfood, dessert, tropical fruit, junior",Baby Foods,3238,
"Babyfood, juice, apple and cherry",Baby Foods,3268,
"Babyfood, juice, apple, with calcium",Baby Foods,3269,
